Time Block,From Time,To Time,Revision Value (MW),GDAM Value (MW),Difference,Multiplier,RTM Bid Value (MW),Create RTM Bid
1,00:00:00,00:15:00,0.98,0.5,0.48,0.9243,0.4,Yes
2,00:15:00,00:30:00,0.98,0.5,0.48,0.9243,0.4,Yes
3,00:30:00,00:45:00,0.98,0.5,0.48,0.9243,0.4,Yes
4,00:45:00,01:00:00,0.98,0.5,0.48,0.9243,0.4,Yes
5,01:00:00,01:15:00,0.98,0.5,0.48,0.9243,0.4,Yes
6,01:15:00,01:30:00,0.98,0.5,0.48,0.9243,0.4,Yes
7,01:30:00,01:45:00,0.98,0.5,0.48,0.9243,0.4,Yes
8,01:45:00,02:00:00,0.98,0.5,0.48,0.9243,0.4,Yes
9,02:00:00,02:15:00,0.98,0.5,0.48,0.9243,0.4,Yes
10,02:15:00,02:30:00,0.98,0.5,0.48,0.9243,0.4,Yes
11,02:30:00,02:45:00,1.08,0.5,0.58,0.9243,0.5,Yes
12,02:45:00,03:00:00,1.08,0.5,0.58,0.9243,0.5,Yes
13,03:00:00,03:15:00,1.08,0.5,0.58,0.9243,0.5,Yes
14,03:15:00,03:30:00,1.08,0.5,0.58,0.9243,0.5,Yes
15,03:30:00,03:45:00,1.08,0.5,0.58,0.9243,0.5,Yes
16,03:45:00,04:00:00,0.98,0.5,0.48,0.9243,0.4,Yes
17,04:00:00,04:15:00,0.98,0.5,0.48,0.9243,0.4,Yes
18,04:15:00,04:30:00,0.98,0.5,0.48,0.9243,0.4,Yes
19,04:30:00,04:45:00,0.98,0.5,0.48,0.9243,0.4,Yes
20,04:45:00,05:00:00,0.98,0.5,0.48,0.9243,0.4,Yes
21,05:00:00,05:15:00,0.98,0.5,0.48,0.9243,0.4,Yes
22,05:15:00,05:30:00,0.98,0.5,0.48,0.9243,0.4,Yes
23,05:30:00,05:45:00,0.98,0.5,0.48,0.9243,0.4,Yes
24,05:45:00,06:00:00,0.98,0.5,0.48,0.9243,0.4,Yes
25,06:00:00,06:15:00,0.98,0.5,0.48,0.9243,0.4,Yes
26,06:15:00,06:30:00,0.98,0.5,0.48,0.9243,0.4,Yes
27,06:30:00,06:45:00,0.98,0.5,0.48,0.9243,0.4,Yes
28,06:45:00,07:00:00,0.98,0.5,0.48,0.9243,0.4,Yes
29,07:00:00,07:15:00,0.98,0.5,0.48,0.9243,0.4,Yes
30,07:15:00,07:30:00,0.98,0.5,0.48,0.9243,0.4,Yes
31,07:30:00,07:45:00,0.98,0.5,0.48,0.9243,0.4,Yes
32,07:45:00,08:00:00,0.98,0.5,0.48,0.9243,0.4,Yes
33,08:00:00,08:15:00,0.98,0.5,0.48,0.9243,0.4,Yes
34,08:15:00,08:30:00,0.98,0.5,0.48,0.9243,0.4,Yes
35,08:30:00,08:45:00,0.98,0.5,0.48,0.9243,0.4,Yes
36,08:45:00,09:00:00,0.98,0.5,0.48,0.9243,0.4,Yes
37,09:00:00,09:15:00,0.98,0.5,0.48,0.9243,0.4,Yes
38,09:15:00,09:30:00,0.98,0.5,0.48,0.9243,0.4,Yes
39,09:30:00,09:45:00,0.98,0.5,0.48,0.9243,0.4,Yes
40,09:45:00,10:00:00,0.98,0.5,0.48,0.9243,0.4,Yes
41,10:00:00,10:15:00,0.98,0.5,0.48,0.9243,0.4,Yes
42,10:15:00,10:30:00,0.98,0.5,0.48,0.9243,0.4,Yes
43,10:30:00,10:45:00,0.98,0.5,0.48,0.9243,0.4,Yes
44,10:45:00,11:00:00,0.98,0.5,0.48,0.9243,0.4,Yes
45,11:00:00,11:15:00,0.98,0.5,0.48,0.9243,0.4,Yes
46,11:15:00,11:30:00,0.98,0.5,0.48,0.9243,0.4,Yes
47,11:30:00,11:45:00,0.98,0.5,0.48,0.9243,0.4,Yes
48,11:45:00,12:00:00,0.98,0.5,0.48,0.9243,0.4,Yes
49,12:00:00,12:15:00,0.98,0.5,0.48,0.9243,0.4,Yes
